anio,caso,medio,link,fase_produccion,objetivo,pais,categoria,fecha,fase
2026.0,"Automatiza la transcripción de unos 80 podcasts del “manosphere”, muy influyentes en la política de EEUU. Envia mails automáticos con resúmenes de las conversaciones para ayudar a periodistas a seguir lo que allí se dice",The New York Times,https://www.niemanlab.org/2026/02/how-the-new-york-times-uses-a-custom-ai-tool-to-track-the-manosphere/,Previa,Mejorar contenidos,Estados Unidos,Análisis / investigación,2026-02-11,Previa
2026.0,"Automatiza la transcripción de unos 80 podcasts del “manosphere”, muy influyentes en la política de EEUU. Envia mails automáticos con resúmenes de las conversaciones para ayudar a periodistas a seguir lo que allí se dice",The New York Times,https://www.niemanlab.org/2026/02/how-the-new-york-times-uses-a-custom-ai-tool-to-track-the-manosphere/,Previa,Mejorar contenidos,Estados Unidos,Análisis / investigación,2026-02-11,Previa
2026.0,"Automatiza la extracción, clasificación y resumen de perfiles y planes de gobierno de candidatos para crear especiales electorales interactivos",El Comercio,https://latamjournalismreview.org/es/articles/la-automatizacion-detras-de-los-especiales-de-el-comercio-para-las-elecciones-peruanas/,"Previa, Producción",Mejorar contenidos,Perú,Análisis / investigación,2026-02-06,Previa
2026.0,"Automatiza la extracción, clasificación y resumen de perfiles y planes de gobierno de candidatos para crear especiales electorales interactivos",El Comercio,https://latamjournalismreview.org/es/articles/la-automatizacion-detras-de-los-especiales-de-el-comercio-para-las-elecciones-peruanas/,"Previa, Producción",Mejorar contenidos,Perú,Análisis / investigación,2026-02-06,Producción
2026.0,"Automatiza la extracción, clasificación y resumen de perfiles y planes de gobierno de candidatos para crear especiales electorales interactivos",El Comercio,https://latamjournalismreview.org/es/articles/la-automatizacion-detras-de-los-especiales-de-el-comercio-para-las-elecciones-peruanas/,"Previa, Producción",Mejorar contenidos,Perú,Análisis / investigación,2026-02-06,Previa
2026.0,"Automatiza la extracción, clasificación y resumen de perfiles y planes de gobierno de candidatos para crear especiales electorales interactivos",El Comercio,https://latamjournalismreview.org/es/articles/la-automatizacion-detras-de-los-especiales-de-el-comercio-para-las-elecciones-peruanas/,"Previa, Producción",Mejorar contenidos,Perú,Análisis / investigación,2026-02-06,Producción
2026.0,"El usuario puede seleccionar a un atleta y se genera automáticamente un vídeo vertical que retransmite la actuación de ese atleta en concreto
",NBC Sports,https://www.theverge.com/tech/861715/nbc-sports-nippon-television-ai-viztrick-aidi-player-tracking-mobile-viewing,"Distribución, Producción","Mejorar contenidos, Participación",Estados Unidos,Video,2026-01-20,Distribución
2026.0,"El usuario puede seleccionar a un atleta y se genera automáticamente un vídeo vertical que retransmite la actuación de ese atleta en concreto
",NBC Sports,https://www.theverge.com/tech/861715/nbc-sports-nippon-television-ai-viztrick-aidi-player-tracking-mobile-viewing,"Distribución, Producción","Mejorar contenidos, Participación",Estados Unidos,Video,2026-01-20,Producción
2026.0,Un juego interactivo con IA para analizar programas electorales y fomentar el voto informado,Público,https://generative-ai-newsroom.com/inside-p%C3%BAblicos-genai-powered-voting-game-c3e937c8a978,Producción,Participación,Portugal,Texto,2026-01-12,Producción
2026.0,Modelos para analizar datos municipales y generar boletines hiperlocales con historias automatizadas.,Crosstown,https://newsmachines.beehiiv.com/p/how-crosstown-finds-stories-hidden-in-municipal-data,"Previa, Producción, Distribución",Mejorar contenidos,Estados Unidos,Análisis / investigación,2026-01-07,Previa
